Date,Open,High,Low,Close,Adj Close,Volume
6/2/2014,28860,29160,28780,29100,22259.56836,7439450
6/3/2014,29680,29900,29300,29400,22489.05078,17234250
6/5/2014,29320,29600,29000,29140,22290.16211,13507050
6/9/2014,29400,29460,28040,28180,21555.83203,22269600
6/10/2014,28420,28760,28100,28720,21968.89258,9214100
6/11/2014,28240,28600,28240,28440,21754.70703,8625750
6/12/2014,28600,28600,28020,28260,21617.02344,12943150
6/13/2014,28040,28080,27260,27340,20913.28125,18589050
6/16/2014,27600,27640,27240,27480,21020.375,15319950
6/17/2014,27200,27560,27020,27480,21020.375,13476750
6/18/2014,27460,27520,27120,27160,20775.5957,11044350
6/19/2014,26900,26980,26400,26460,20240.14063,22339700
6/20/2014,26600,26600,25920,26020,19903.57031,23902650
6/23/2014,26420,26640,26320,26440,20224.8418,12488250
6/24/2014,26800,27080,26640,26900,20576.7168,11890850
6/25/2014,26600,26660,26360,26400,20194.24414,10231900
6/26/2014,26180,26860,26140,26500,20270.73828,12765300
6/27/2014,26140,26380,26120,26220,20064.14063,8953050
6/30/2014,26200,26480,26180,26440,20232.47656,8881050
7/1/2014,26160,26280,26020,26200,20048.82617,8725400
7/2/2014,26340,26620,26120,26600,20354.91211,11139250
7/3/2014,26720,26720,26320,26360,20171.26172,8543050
7/4/2014,26440,26520,26060,26120,19987.60547,5978850
7/7/2014,25820,26020,25800,25840,19773.34961,9437050
7/8/2014,25880,26380,25740,25900,19819.25586,12073200
7/9/2014,25740,26160,25660,26160,20018.21875,11829900
7/10/2014,26160,26220,26040,26120,19987.60547,8960200
7/11/2014,26000,26040,25640,25680,19650.91797,10779600
7/14/2014,25960,26000,25720,25720,19681.51953,7082150
7/15/2014,26000,26460,25940,26400,20201.86914,11976050
7/16/2014,26260,26460,26220,26420,20217.17773,9114200
7/17/2014,26520,26700,26400,26600,20354.91211,10922700
7/18/2014,26300,26860,26280,26860,20553.87109,9742650
7/21/2014,26980,27200,26860,27060,20706.91992,8059950
7/22/2014,26960,27160,26900,26960,20630.39844,6300950
7/23/2014,27080,27140,26700,26760,20477.34961,6417300
7/24/2014,27000,27160,26620,27100,20737.52539,8051700
7/25/2014,26920,27100,26700,27100,20737.52539,8790150
7/28/2014,27100,27340,26880,27160,20783.44531,8992550
7/29/2014,27100,27760,27060,27720,21211.96289,12809300
7/30/2014,27760,28160,27480,27900,21349.70117,17359450
7/31/2014,27480,27700,26720,26860,20553.87109,24351350
8/1/2014,26100,26560,25840,25840,19773.34961,28231050
8/4/2014,26000,26340,25820,26340,20155.95703,12066750
8/5/2014,26020,26420,26000,26320,20140.64648,8626450
8/6/2014,26120,26320,25900,26000,19895.77539,10830100
8/7/2014,26000,26040,25700,25800,19742.73438,9527250
8/8/2014,25680,25700,24960,25000,19130.55664,20621450
8/11/2014,25500,25640,25140,25400,19436.65039,18619250
8/12/2014,25400,25880,25240,25320,19375.43359,8995700
8/13/2014,25500,25500,24960,25280,19344.82227,12845000
8/14/2014,25480,25640,25080,25220,19298.9082,10447350
8/18/2014,25580,25600,25000,25000,19130.55664,10518950
8/19/2014,25280,25460,25060,25080,19191.77539,10044400
8/20/2014,25280,25420,25020,25220,19298.9082,9430600
8/21/2014,25100,25220,24620,24700,18900.99414,17105400
8/22/2014,24900,24940,24700,24940,19084.64453,8407650
8/25/2014,24620,24620,24420,24560,18793.85352,11577200
8/26/2014,24700,24700,24420,24440,18702.03711,10719450
8/27/2014,24460,24740,24440,24600,18824.4707,12171000
8/28/2014,25160,25160,24720,24840,19008.12305,10311850
8/29/2014,24760,24760,24560,24680,18885.68945,14558250
9/1/2014,24720,24740,24480,24520,18763.24805,5664050
9/2/2014,24420,24500,23880,23880,18273.50781,15899600
9/3/2014,24000,24000,23600,23780,18196.98828,21238750
9/4/2014,24200,24320,24040,24200,18518.38867,12099950
9/5/2014,24300,24320,23900,24020,18380.64258,10770400
9/11/2014,24000,24140,23840,23840,18242.89844,23309200
9/12/2014,24000,24160,24000,24020,18380.64258,10872350
9/15/2014,24140,24160,23920,24000,18365.33398,7161500
9/16/2014,24160,24300,24020,24120,18457.15625,7092400
9/17/2014,24140,24520,24140,24520,18763.24805,7545750
9/18/2014,24600,24600,24080,24200,18518.38867,9476750
9/19/2014,24460,24460,24120,24200,18518.38867,13435050
9/22/2014,24080,24080,23600,23760,18181.68555,16022100
9/23/2014,23560,23700,23220,23220,17768.45898,19541400
9/24/2014,23040,23220,22820,23000,17600.11133,15789200
9/25/2014,23240,23320,22940,23120,17691.93945,19414500
9/26/2014,23040,23700,22960,23700,18135.76758,12413550
9/29/2014,23860,24000,23400,23900,18288.81445,9401000
9/30/2014,23700,23760,23300,23680,18120.46094,12379300
10/1/2014,23480,23660,23120,23120,17691.93945,11929800
10/2/2014,23300,23300,22820,22820,17462.37305,12732750
10/6/2014,22900,23120,22760,23020,17615.41602,21252900
10/7/2014,23240,23720,23240,23240,17783.76172,10149150
10/8/2014,22840,23020,22480,22600,17294.02539,14720550
10/10/2014,22000,22280,21980,22100,16911.41602,21837450
10/13/2014,21640,22540,21560,22160,16957.32813,11344750
10/14/2014,22540,22920,22400,22540,17248.11523,16572550
10/15/2014,22560,22900,22400,22500,17217.49805,14143600
10/16/2014,22320,22420,22080,22300,17064.45313,15148300
10/17/2014,22120,22300,21740,21780,16666.54883,16281750
10/20/2014,22300,22340,22020,22120,16926.71484,9476750
10/21/2014,21880,22000,21620,21660,16574.71484,11766050
10/22/2014,21940,22080,21800,22080,16896.10742,11127700
10/23/2014,22260,22260,21800,21880,16743.06445,8505900
10/24/2014,22060,22240,21840,22240,17018.54492,8378450
10/27/2014,22020,22220,21740,21900,16758.37305,8388600
10/28/2014,21800,22000,21720,21820,16697.1543,6243850
10/29/2014,22000,22600,21800,22600,17294.02539,13726100
10/30/2014,22580,23660,22300,23620,18074.55273,24566950
10/31/2014,23960,25000,23700,24880,19038.73633,38623150
11/3/2014,25000,25040,24320,24700,18900.99414,13475800
11/4/2014,24380,24840,24100,24340,18625.50977,13000300
11/5/2014,24300,24500,23880,24040,18395.94141,10162150
11/6/2014,23960,24200,23860,24080,18426.55859,8570150
11/7/2014,24360,24360,23900,24120,18457.15625,6030200
11/10/2014,24520,25380,24440,25360,19406.0332,19202900
11/11/2014,25100,25220,24540,24620,18839.77734,12141400
11/12/2014,24620,24680,24380,24600,18824.4707,9079600
11/13/2014,24560,24640,23980,24000,18365.33398,11547150
11/14/2014,24020,24020,23600,23880,18273.50781,10621750
11/17/2014,23800,24400,23640,24100,18441.86328,9693950
11/18/2014,24400,24540,24300,24400,18671.42773,10754700
11/19/2014,24760,24760,24240,24360,18640.8125,12502750
11/20/2014,24120,24400,24120,24200,18518.38867,10024150
11/21/2014,24380,24520,24340,24460,18717.33594,12336350
11/24/2014,24940,24960,24200,24400,18671.42773,10284300
11/25/2014,24480,24480,23800,23800,18212.29102,17811050
11/26/2014,23800,24220,23640,24020,18380.64258,12287900
11/27/2014,25460,26020,25280,25280,19344.82227,44377800
11/28/2014,25900,25920,25480,25740,19696.82617,9844550
12/1/2014,25880,25960,25740,25900,19819.25586,12866850
12/2/2014,25900,25900,25320,25900,19819.25586,9222700
12/3/2014,26000,26020,25900,25960,19865.17578,9735500
12/4/2014,26040,26060,25960,26000,19895.77539,8871350
12/5/2014,26280,26280,26000,26040,19926.39258,5637800
12/8/2014,26060,26420,26040,26380,20186.56445,7916550
12/9/2014,26380,27140,26380,26980,20645.69336,13553100
12/10/2014,26920,26920,26340,26340,20155.95703,15977800
12/11/2014,26340,26380,25880,26100,19972.29883,20490850
12/12/2014,26060,26080,25480,25720,19681.51953,14397250
12/15/2014,25600,25600,25200,25460,19482.55664,14337950
12/16/2014,25400,25780,25360,25580,19574.38086,12894750
12/17/2014,25580,25660,25060,25320,19375.43359,13088650
12/18/2014,25320,25580,25040,25320,19375.43359,11808250
12/19/2014,25880,26560,25740,26560,20324.31055,18356500
12/22/2014,26900,26940,26360,26900,20584.48633,17943850
12/23/2014,26920,26980,26740,26780,20492.65625,10976350
12/24/2014,26780,26860,26780,26860,20553.87109,6257000
12/26/2014,26860,27100,26860,27040,20691.60938,11488100
12/29/2014,26900,26940,26580,26580,20637.26172,9637450
12/30/2014,26600,26700,26420,26540,20606.20313,10649100
1/2/2015,26800,26800,26540,26600,20652.78711,8774950
1/5/2015,26720,26720,26260,26660,20699.375,10139500
1/6/2015,26300,26340,25760,25900,20109.29883,15235500
1/7/2015,25880,26220,25640,26140,20295.63672,14322750
1/8/2015,26780,26780,26200,26280,20404.33984,14477600
1/9/2015,26280,26440,26280,26280,20404.33984,9312400
1/12/2015,26260,26380,26020,26320,20435.39258,8325400
1/13/2015,26280,26800,26000,26780,20792.54102,12293400
1/14/2015,26780,27100,26700,26900,20885.71484,14332250
1/15/2015,26900,26980,26580,26680,20714.90234,14103900
1/16/2015,26680,26680,26260,26320,20435.39258,13568500
1/19/2015,26580,26980,26400,26860,20854.66211,6672950
1/20/2015,27000,27440,26900,27440,21304.98633,13278050
1/21/2015,27340,27900,27200,27900,21662.14258,16612650
1/22/2015,27960,27980,27560,27560,21398.1543,17957700
1/23/2015,28000,28000,27540,27720,21522.38281,12858750
1/26/2015,27500,27900,27280,27780,21568.96875,10153500
1/27/2015,27500,28000,27480,28000,21739.78125,9957200
1/28/2015,27720,27800,27480,27560,21398.1543,10831500
1/29/2015,27360,27900,27140,27200,21118.64258,13702250
1/30/2015,27200,27540,27200,27300,21196.2832,16110000
2/2/2015,27300,27540,27120,27360,21242.86914,10521000
2/3/2015,27600,27600,27180,27320,21211.81055,5654400
2/4/2015,27500,27620,27180,27180,21103.11133,9328900
2/5/2015,27180,27380,26920,27160,21087.58984,6770400
2/6/2015,26920,27480,26720,27440,21304.98633,8005050
2/9/2015,27200,27980,27140,27900,21662.14258,8693500
2/10/2015,28000,28000,27540,27560,21398.1543,6519350
2/11/2015,27480,27480,27080,27100,21041,9973800
2/12/2015,26800,27160,26620,26880,20870.19336,10748200
2/13/2015,27200,27220,26900,27220,21134.16992,6522900
2/16/2015,27360,27480,27220,27480,21336.04102,6226500
2/17/2015,27480,27540,27280,27540,21382.62305,5745000
2/23/2015,27560,27800,27320,27340,21227.34766,15301800
2/24/2015,27700,27780,27280,27340,21227.34766,10863250
2/25/2015,27600,27700,27460,27580,21413.68164,8374250
2/26/2015,27580,27600,27360,27500,21351.57422,8179150
2/27/2015,27500,27520,27140,27140,21072.05469,13009400
3/2/2015,27500,28460,27340,28460,22096.93164,21805600
3/3/2015,28700,28740,28120,28360,22019.28906,13748800
3/4/2015,28220,28800,28200,28740,22314.33008,11603100
3/5/2015,28780,28860,28340,28440,22081.40625,9615600
3/6/2015,28280,28980,28120,28840,22391.97852,11733500
3/9/2015,28800,28800,28400,28400,22050.3457,7814600
3/10/2015,28680,28860,28400,28420,22065.87695,10419850
3/11/2015,28380,29580,28360,29480,22888.87891,21108650
3/12/2015,29200,29460,28940,28940,22469.61328,19153200
3/13/2015,29220,29580,29100,29140,22624.90234,9413100
3/16/2015,29160,29740,29100,29400,22826.76563,8974550
3/17/2015,29400,30000,29200,29940,23246.03711,13661150
3/18/2015,29920,30120,29720,30060,23339.20703,12464350
3/19/2015,30200,30200,29400,29400,22826.76563,13225800
3/20/2015,29500,29600,29200,29280,22733.5957,12704950
3/23/2015,29240,29480,29160,29340,22780.18555,8122900
3/24/2015,29100,29560,29100,29520,22919.93359,9113150
3/25/2015,29740,29760,29440,29700,23059.69727,9369050
3/26/2015,29000,29120,28420,28420,22065.87695,21005950
3/27/2015,28300,28960,28300,28420,22065.87695,16065800
3/30/2015,28500,28680,28240,28560,22174.57227,8955500
3/31/2015,28980,29040,28600,28820,22376.44336,9842650
4/1/2015,28740,28740,28400,28460,22096.93164,7266050
4/2/2015,28680,28800,28460,28680,22267.74414,6903400
4/3/2015,28680,28800,28400,28680,22267.74414,6270150
4/6/2015,28860,29800,28700,29400,22826.76563,10582600
4/7/2015,29560,29700,29240,29240,22702.53906,9526050
4/8/2015,29400,29700,29200,29580,22966.5293,7773400
4/9/2015,29400,29780,29400,29660,23028.63672,9107550
4/10/2015,29600,29880,29560,29800,23137.33984,9960100
4/13/2015,29580,29820,29360,29580,22966.5293,10293300
4/14/2015,29700,29700,29300,29480,22888.87891,9429750
4/15/2015,29200,29400,28540,28920,22454.08594,13551050
4/16/2015,29240,29540,28940,29540,22935.46289,10762350
4/17/2015,29540,29560,28940,29000,22516.20117,10172300
4/20/2015,28920,28960,28460,28600,22205.63086,12394900
4/21/2015,28420,28900,28400,28880,22423.0293,11852650
4/22/2015,28880,29460,28720,29220,22687.01563,12655550
4/23/2015,29400,29400,28800,29020,22531.72852,9245150
4/24/2015,28980,29100,28000,28200,21895.0625,19089900
4/27/2015,28200,28220,27500,27900,21662.14258,16517150
4/28/2015,27800,28000,27180,27320,21211.81055,15697300
4/29/2015,27340,27880,27280,27700,21506.85156,10895650
4/30/2015,27700,28360,27580,28200,21895.0625,18352850
5/4/2015,28140,28460,27940,28000,21739.78125,8283700
5/6/2015,27800,27820,27120,27240,21149.69922,13270500
5/7/2015,27240,27500,27080,27400,21273.92578,10257400
5/8/2015,27320,27400,26760,26760,20777.01953,9488100
5/11/2015,27200,27200,26720,26720,20745.96094,9640450
5/12/2015,26900,27060,26480,26620,20668.32031,10633200
5/13/2015,26980,26980,26520,26660,20699.375,9877250
5/14/2015,26820,26860,26560,26800,20808.07813,8488500
5/15/2015,27100,27120,26420,26520,20590.67383,8922350
5/18/2015,26700,26700,26180,26400,20497.50586,9626850
5/19/2015,26420,27100,26140,26760,20777.01953,8680900
5/20/2015,26980,27400,26820,27320,21211.81055,10291450
5/21/2015,27420,27440,26880,27040,20994.41797,7210600
5/22/2015,27060,27060,26700,27000,20963.35938,8195800
5/26/2015,27320,27380,26720,27240,21149.69922,10034150
5/27/2015,27200,27320,26260,26280,20404.33984,17265450
5/28/2015,26340,26420,26020,26180,20326.69531,15048150
5/29/2015,26400,26420,25940,26140,20295.63672,17380750
6/1/2015,26000,26020,25760,25820,20047.18359,10921950
6/2/2015,26000,26060,25760,26060,20233.52734,8757550
6/3/2015,26060,26320,25300,25460,19767.67773,11769400
6/4/2015,26300,26820,26100,26740,20761.49023,19411950
6/5/2015,26500,27100,26400,26820,20823.60938,9828150
6/8/2015,26900,26940,26260,26280,20404.33984,10118950
6/9/2015,26000,26200,25360,25640,19907.42773,13735250
6/10/2015,25640,25880,25240,25240,19596.85547,12501700
6/11/2015,25260,25480,25060,25140,19519.21484,15314050
6/12/2015,25560,25740,25280,25540,19829.78711,11741500
6/15/2015,25100,25480,25100,25400,19721.08789,8067800
6/16/2015,25400,25480,24900,25100,19488.1582,12767600
6/17/2015,25000,25320,24800,25080,19472.63281,9452300
6/18/2015,25180,25580,25020,25300,19643.44141,8247600
6/19/2015,25320,25560,25200,25320,19658.9668,7094750
6/22/2015,25820,25920,25520,25620,19891.89844,6370900
